[HEADER]
17-10-2022
11:42:16


[DATA]
[s]	[±0.008 bar]
time	pres
1.634	-0.004
1.636	-0.015
1.637	0.024
1.637	0.005
1.638	0.018
1.639	0.013
1.640	0.021
1.641	-0.003
1.642	-0.016
1.643	0.006
1.644	-0.002
1.645	0.029
1.646	0.024
1.647	0.011
1.648	-0.009
1.649	-0.004
1.650	0.016
1.651	-0.008
1.652	-0.015
1.654	0.011
1.655	0.015
1.655	-0.002
1.656	0.006
1.657	0.004
1.658	-0.001
1.659	0.012
1.660	0.002
1.661	0.011
1.662	0.011
1.663	-0.012
1.664	0.018
1.665	0.010
1.666	0.023
1.667	0.028
1.668	0.022
1.669	-0.008
1.670	0.004
1.671	-0.002
1.672	0.021
1.673	0.012
1.674	-0.003
1.675	-0.021
1.676	-0.009
1.677	0.015
1.678	0.009
1.679	-0.001
1.680	-0.011
1.681	-0.006
1.682	0.019
1.683	-0.007
1.684	-0.005
1.686	-0.021
1.686	-0.031
1.687	0.002
1.688	0.001
1.689	0.002
1.690	-0.003
1.691	0.004
1.692	0.031
1.693	0.012
1.694	0.020
1.695	-0.000
1.697	-0.002
1.697	0.010
1.699	-0.011
1.699	0.000
1.700	0.017
1.701	-0.004
1.703	-0.004
1.704	0.006
1.704	0.003
1.705	0.011
1.706	0.009
1.707	0.017
1.708	0.022
1.709	0.036
1.710	0.030
1.711	0.005
1.712	0.027
1.714	-0.015
1.714	0.021
1.715	0.025
1.716	0.021
1.718	-0.005
1.718	0.002
1.719	0.012
1.720	0.008
1.721	-0.009
1.722	0.008
1.723	0.011
1.724	0.018
1.725	0.018
1.726	0.002
1.727	0.005
1.728	0.023
1.729	-0.005
1.730	0.008
1.731	0.022
1.732	0.040
1.733	-0.004
1.734	-0.012
1.736	0.008
1.737	0.010
1.737	0.014
1.738	-0.002
1.739	0.009
1.740	-0.006
1.741	0.018
1.742	-0.002
1.743	0.011
1.744	-0.004
1.746	-0.006
1.747	-0.017
1.747	0.018
1.749	0.033
1.750	0.002
1.750	-0.005
1.751	0.023
1.752	-0.003
1.754	0.007
1.755	-0.011
1.755	0.013
1.756	0.018
1.757	0.023
1.758	0.018
1.759	0.009
1.760	0.004
1.761	0.012
1.762	0.006
1.763	-0.008
1.765	-0.020
1.766	-0.009
1.766	-0.007
1.767	-0.001
1.768	-0.020
1.769	0.021
1.770	0.004
1.771	0.016
1.772	-0.007
1.773	0.009
1.774	0.015
1.775	0.038
1.776	0.012
1.777	0.011
1.778	0.029
1.779	0.004
1.781	-0.012
1.782	-0.006
1.782	0.003
1.783	-0.000
1.784	0.010
1.786	0.014
1.787	-0.013
1.787	0.014
1.788	0.005
1.789	0.013
1.791	-0.005
1.791	-0.003
1.792	-0.003
1.793	0.015
1.794	0.024
1.795	0.005
1.796	0.001
1.797	0.014
1.799	0.007
1.800	0.007
1.800	0.008
1.801	0.011
1.802	0.029
1.804	0.042
1.805	0.040
1.805	0.020
1.806	0.031
1.807	0.008
1.808	0.003
1.809	-0.009
1.810	0.019
1.811	0.003
1.813	-0.010
1.813	0.004
1.814	-0.003
1.816	-0.013
1.816	0.002
1.817	-0.006
1.818	0.015
1.819	0.039
1.820	0.034
1.821	0.017
1.822	0.026
1.823	0.026
1.824	0.015
1.825	0.003
1.827	-0.003
1.827	-0.014
1.828	0.001
1.829	0.028
1.830	0.034
1.832	0.043
1.833	0.015
1.834	-0.006
1.834	0.020
1.835	0.002
1.836	0.016
1.837	0.012
1.839	-0.000
1.839	0.040
1.840	0.018
1.841	0.016
1.843	-0.017
1.844	-0.003
1.844	-0.021
1.845	0.007
1.847	0.011
1.847	0.016
1.849	0.028
1.849	0.018
1.850	0.025
1.851	0.018
1.852	0.018
1.854	0.015
1.854	0.006
1.855	0.006
1.856	0.016
1.858	-0.004
1.859	-0.033
1.859	-0.027
1.860	-0.014
1.862	-0.004
1.862	0.012
1.864	0.007
1.864	0.019
1.866	-0.006
1.866	0.007
1.867	0.025
1.868	0.014
1.870	-0.011
1.870	0.003
1.871	-0.016
1.872	0.007
1.874	-0.007
1.874	0.004
1.875	0.015
1.876	0.014
1.877	-0.025
1.879	-0.010
1.879	0.023
1.881	0.017
1.881	0.050
1.882	-0.001
1.883	-0.008
1.884	0.010
1.885	-0.003
1.887	0.023
1.887	0.022
1.888	0.005
1.889	0.003
1.890	0.007
1.891	-0.021
1.892	0.007
1.893	0.005
1.894	0.008
1.895	0.002
1.896	-0.014
1.897	-0.023
1.898	-0.011
1.899	-0.002
1.900	0.003
1.901	-0.005
1.902	-0.017
1.904	0.028
1.904	0.023
1.905	0.011
1.906	0.003
1.907	0.001
1.908	-0.006
1.909	-0.002
1.910	0.025
1.911	0.015
1.912	0.011
1.913	0.022
1.914	0.002
1.915	0.005
1.916	0.011
1.917	0.006
1.918	0.007
1.919	-0.002
1.920	0.014
1.921	-0.001
1.922	0.003
1.923	0.009
1.924	0.020
1.925	-0.000
1.926	0.012
1.927	0.008
1.928	-0.009
1.929	-0.001
1.930	0.008
1.931	0.027
1.932	0.020
1.933	0.008
1.934	0.013
1.936	0.003
1.937	-0.001
1.937	-0.014
1.938	-0.004
1.939	0.006
1.940	0.004
1.941	0.014
1.942	0.006
1.943	0.014
1.944	-0.009
1.945	-0.003
1.946	0.042
1.947	0.026
1.948	0.011
1.949	0.022
1.950	-0.001
1.951	0.006
1.952	-0.005
1.954	-0.004
1.954	-0.005
1.955	0.012
1.956	-0.005
1.957	0.013
1.958	-0.004
1.959	-0.003
1.960	-0.004
1.961	-0.003
1.962	0.008
1.963	0.008
1.965	-0.009
1.965	0.019
1.966	0.022
1.967	0.008
1.968	0.002
1.970	-0.003
1.970	-0.002
1.971	0.027
1.972	-0.001
1.973	-0.007
1.974	0.006
1.975	-0.021
1.976	-0.002
1.977	0.003
1.978	0.022
1.979	0.013
1.981	0.001
1.981	-0.015
1.982	-0.011
1.983	0.010
1.984	-0.002
1.986	-0.007
1.987	0.020
1.987	0.008
1.988	0.024
1.989	0.002
1.990	0.011
1.992	-0.001
1.992	-0.004
1.993	0.012
1.994	-0.012
1.995	0.025
1.996	0.026
1.997	0.032
1.998	0.014
2.000	0.008
2.000	0.030
2.001	0.012
2.003	0.025
2.004	0.008
2.005	0.004
2.005	0.022
2.007	-0.007
2.007	-0.008
2.009	-0.006
2.009	-0.023
2.010	0.006
2.012	-0.009
2.012	-0.012
2.014	-0.001
2.015	0.009
2.016	0.025
2.016	0.009
2.017	0.006
2.018	-0.014
2.019	0.036
2.020	0.004
2.021	0.007
2.022	0.004
2.023	0.008
2.024	0.011
2.025	0.021
2.026	0.027
2.027	0.031
2.028	0.005
2.029	-0.004
2.030	0.019
2.031	-0.005
2.033	-0.024
2.033	0.003
2.034	-0.012
2.035	0.011
2.036	0.029
2.037	0.037
2.038	0.016
2.039	0.019
2.040	0.003
2.041	0.006
2.042	0.036
2.043	0.010
2.045	-0.002
2.046	-0.006
2.047	0.031
2.047	0.017
2.049	0.042
2.049	0.011
2.050	0.008
2.051	-0.005
2.053	-0.004
2.054	-0.003
2.055	0.000
2.056	-0.019
2.057	-0.022
2.057	-0.022
2.058	-0.005
2.059	-0.003
2.060	0.006
2.061	0.007
2.062	0.001
2.063	-0.007
2.065	-0.011
2.066	-0.017
2.067	-0.022
2.067	0.019
2.068	-0.017
2.069	-0.025
2.071	-0.027
2.072	-0.008
2.072	0.018
2.073	0.008
2.074	0.013
2.076	-0.017
2.077	-0.003
2.077	0.022
2.078	0.005
2.079	0.011
2.081	-0.000
2.082	-0.012
2.082	0.006
2.083	0.036
2.084	0.013
2.085	0.035
2.087	0.009
2.088	-0.004
2.089	-0.011
2.089	-0.011
2.091	-0.003
2.091	0.015
2.092	-0.007
2.093	0.021
2.094	0.002
2.095	0.011
2.097	0.041
2.097	0.018
2.098	0.007
2.099	-0.008
2.101	0.028
2.102	0.012
2.103	0.015
2.104	0.007
2.105	0.031
2.106	0.021
2.107	0.007
2.108	0.022
2.109	0.006
2.110	-0.002
2.111	0.020
2.111	0.009
2.113	0.015
2.114	-0.017
2.115	-0.020
2.116	-0.019
2.117	-0.026
2.118	-0.023
2.119	-0.009
2.120	0.007
2.121	-0.016
2.122	-0.013
2.123	-0.023
2.124	-0.021
2.125	0.002
2.126	-0.001
2.127	-0.027
2.128	0.008
2.129	-0.006
2.130	0.001
2.131	0.005
2.132	0.003
2.133	0.010
2.134	-0.020
2.135	-0.027
2.136	-0.000
2.137	-0.024
2.138	-0.019
2.139	-0.011
2.140	-0.023
2.141	-0.017
2.142	-0.024
2.143	0.010
2.144	0.013
2.145	0.009
2.146	-0.015
2.147	0.019
2.148	0.014
2.149	0.013
2.150	0.031
2.151	0.006
2.152	-0.011
2.153	-0.020
2.154	0.018
2.155	0.014
2.156	-0.013
2.157	-0.023
2.158	-0.014
2.159	-0.014
2.160	-0.001
2.161	-0.016
2.162	0.024
2.163	0.002
2.164	0.001
2.165	0.004
2.166	0.020
2.167	0.025
2.168	0.030
2.169	-0.006
2.170	0.018
2.171	0.017
2.172	0.019
2.173	0.019
2.174	0.000
2.175	0.004
2.176	-0.010
2.177	-0.009
2.178	-0.001
2.179	-0.018
2.180	0.019
2.181	-0.004
2.182	0.005
2.183	0.020
2.184	0.020
2.185	0.013
2.186	0.015
2.187	0.022
2.188	0.012
2.189	0.021
2.190	-0.007
2.191	-0.031
2.192	-0.019
2.193	0.005
2.194	-0.008
2.195	-0.001
2.196	0.002
2.197	0.017
2.198	-0.003
2.199	-0.021
2.200	-0.010
2.201	0.039
2.202	0.043
2.203	0.003
2.204	-0.010
2.205	-0.031
2.206	-0.004
2.207	0.013
2.208	0.009
2.209	0.022
2.210	0.028
2.211	0.012
2.212	-0.011
2.213	0.006
2.214	-0.014
2.215	-0.021
2.216	-0.031
2.217	-0.016
2.218	0.013
2.219	0.024
2.220	0.021
2.221	-0.006
2.222	0.030
2.223	0.032
2.224	0.020
2.225	0.015
2.226	0.005
2.227	0.013
2.228	0.014
2.229	-0.010
2.230	0.026
2.231	0.021
2.232	0.008
2.233	0.003
2.234	0.023
2.235	-0.014
2.236	0.006
2.237	0.019
2.238	0.006
2.239	-0.012
2.240	-0.020
2.241	-0.024
2.242	0.002
2.243	-0.006
2.244	-0.018
2.245	-0.002
2.246	-0.004
2.247	-0.006
2.248	0.001
2.249	-0.019
2.250	-0.016
2.251	0.015
2.252	-0.016
2.253	0.001
2.254	0.017
2.255	0.005
2.256	-0.024
2.257	-0.011
2.258	-0.010
2.259	0.011
2.260	0.021
2.261	-0.007
2.262	0.006
2.263	0.011
2.264	0.038
2.265	0.021
2.266	0.033
2.267	-0.002
2.268	-0.001
2.269	0.024
2.270	0.014
2.271	0.025
2.272	0.028
2.273	0.023
2.274	-0.008
2.275	0.047
2.276	0.002
2.277	-0.011
2.278	-0.018
2.279	0.006
2.280	-0.014
2.281	-0.027
2.282	0.015
2.283	0.018
2.284	-0.005
2.285	-0.005
2.286	0.020
2.287	0.016
2.288	0.019
2.289	0.002
2.290	0.019
2.291	0.044
2.292	0.007
2.293	-0.020
2.294	0.020
2.295	-0.000
2.296	-0.028
2.297	-0.033
2.298	-0.009
2.299	-0.000
2.300	0.009
2.301	0.014
2.302	0.015
2.303	0.008
2.304	0.015
2.305	0.009
2.306	0.031
2.307	0.033
2.308	0.011
2.309	0.018
2.310	-0.001
2.311	0.003
2.312	-0.009
2.313	0.003
2.314	0.014
2.315	-0.022
2.316	-0.019
2.317	0.006
2.318	-0.010
2.319	-0.012
2.320	-0.024
2.321	-0.005
2.322	-0.019
2.323	-0.000
2.324	-0.031
2.325	-0.014
2.326	-0.015
2.327	0.003
2.328	0.006
2.329	0.018
2.330	-0.010
2.331	-0.017
2.332	0.010
2.333	0.014
2.334	-0.009
2.335	-0.005
2.336	0.015
2.337	0.008
2.338	-0.006
2.339	0.020
2.340	0.026
2.341	0.026
2.342	-0.019
2.343	0.001
2.344	-0.002
2.345	0.004
2.346	0.019
2.347	0.005
2.348	0.030
2.349	0.003
2.350	-0.001
2.351	0.013
2.352	-0.014
2.353	0.002
2.354	0.032
2.355	0.002
2.356	0.007
2.357	0.025
2.358	0.006
2.359	-0.022
2.360	0.042
2.361	0.005
2.362	0.010
2.363	0.008
2.364	0.019
2.365	-0.000
2.366	0.025
2.367	-0.001
2.368	0.025
2.369	0.013
2.370	0.026
2.371	0.003
2.372	-0.009
2.373	-0.022
2.374	-0.015
2.375	-0.023
2.376	-0.002
2.377	0.001
2.378	0.030
2.379	0.008
2.380	-0.005
2.381	-0.022
2.382	0.002
2.383	-0.000
2.384	-0.022
2.385	-0.016
2.386	-0.021
2.387	0.005
2.388	0.004
2.389	0.019
2.390	0.010
2.391	-0.023
2.392	-0.003
2.393	0.013
2.394	0.011
2.395	0.036
2.396	0.028
2.397	-0.002
2.398	0.015
2.399	0.017
2.400	0.027
2.401	0.010
2.402	0.001
2.403	0.007
2.404	-0.008
2.405	0.008
2.406	0.020
2.407	0.015
2.408	0.030
2.409	0.014
2.409	0.009
2.410	0.009
2.411	-0.001
2.412	0.001
2.413	0.019
2.414	0.009
2.415	0.021
2.416	0.004
2.417	-0.003
2.418	0.012
2.419	0.016
2.420	0.010
2.421	-0.001
2.422	0.012
2.423	0.030
2.424	0.025
2.425	0.034
2.426	0.029
2.427	0.015
2.428	0.004
2.429	0.019
2.430	0.009
2.432	0.012
2.433	0.001
2.433	-0.003
2.434	0.006
2.435	-0.014
2.436	-0.004
2.437	0.013
2.438	0.003
2.439	0.014
2.440	0.025
2.441	0.024
2.442	0.025
2.443	0.042
2.445	0.045
2.445	0.035
2.446	0.017
2.447	0.030
2.449	0.018
2.449	0.015
2.450	0.019
2.451	0.022
2.452	0.017
2.454	0.017
2.455	0.014
2.455	0.027
2.456	0.039
2.457	0.038
2.458	0.032
2.459	0.037
2.460	0.022
2.461	0.035
2.462	0.036
2.463	0.035
2.464	0.025
2.466	0.052
2.466	0.052
2.467	0.036
2.468	0.030
2.469	0.035
2.470	0.036
2.471	0.036
2.472	0.051
2.473	0.027
2.474	0.024
2.475	0.046
2.476	0.051
2.477	0.052
2.478	0.049
2.479	0.033
2.480	0.049
2.482	0.051
2.483	0.067
2.483	0.048
2.484	0.046
2.485	0.043
2.486	0.032
2.487	0.027
2.488	0.054
2.489	0.060
2.490	0.053
2.491	0.051
2.492	0.036
2.493	0.040
2.494	0.043
2.495	0.041
2.496	0.030
2.497	0.047
2.498	0.058
2.499	0.066
2.500	0.053
2.501	0.050
2.502	0.052
2.504	0.052
2.504	0.055
2.506	0.067
2.507	0.060
2.508	0.066
2.509	0.053
2.510	0.048
2.511	0.057
2.512	0.040
2.513	0.052
2.514	0.042
2.515	0.047
2.516	0.039
2.517	0.054
2.518	0.066
2.519	0.047
2.520	0.039
2.521	0.062
2.522	0.059
2.523	0.067
2.524	0.062
2.525	0.041
2.526	0.055
2.527	0.067
2.528	0.067
2.529	0.081
2.530	0.057
2.531	0.055
2.532	0.061
2.533	0.057
2.534	0.072
2.535	0.077
2.536	0.081
2.537	0.073
2.538	0.051
2.539	0.057
2.540	0.050
2.541	0.072
2.542	0.058
2.543	0.072
2.544	0.081
2.545	0.078
2.546	0.076
2.547	0.059
2.548	0.051
2.549	0.053
2.550	0.047
2.551	0.073
2.553	0.058
2.553	0.066
2.555	0.095
2.555	0.081
2.556	0.083
2.557	0.052
2.558	0.052
2.559	0.050
2.560	0.067
2.561	0.086
2.562	0.093
2.563	0.112
2.564	0.104
2.565	0.093
2.566	0.073
2.567	0.086
2.568	0.094
2.569	0.103
2.571	0.074
2.571	0.079
2.572	0.068
2.573	0.069
2.574	0.071
2.575	0.057
2.576	0.079
2.577	0.087
2.578	0.073
2.579	0.070
2.580	0.092
2.581	0.063
2.582	0.063
2.583	0.065
2.584	0.072
2.585	0.078
2.586	0.090
2.587	0.078
2.588	0.076
2.589	0.059
2.590	0.067
2.591	0.092
2.592	0.097
2.593	0.065
2.594	0.089
2.595	0.076
2.596	0.096
2.597	0.103
2.598	0.074
2.599	0.077
2.600	0.085
2.601	0.098
2.602	0.103
2.603	0.079
2.604	0.067
2.605	0.062
2.606	0.079
2.607	0.076
2.608	0.088
2.609	0.095
2.610	0.089
2.611	0.090
2.612	0.078
2.613	0.077
2.614	0.076
2.616	0.094
2.616	0.111
2.617	0.080
2.618	0.082
2.619	0.071
2.620	0.072
2.621	0.068
2.622	0.085
2.623	0.100
2.624	0.117
2.625	0.086
2.626	0.071
2.627	0.100
2.627	0.081
2.628	0.095
2.629	0.091
2.630	0.103
2.632	0.088
2.632	0.077
2.633	0.101
2.634	0.087
2.636	0.071
2.637	0.102
2.637	0.115
2.638	0.087
2.639	0.085
2.640	0.091
2.641	0.081
2.643	0.083
2.643	0.100
2.644	0.091
2.645	0.077
2.647	0.085
2.647	0.105
2.648	0.101
2.650	0.084
2.650	0.098
2.651	0.099
2.652	0.129
2.654	0.125
2.655	0.106
2.656	0.109
2.656	0.099
2.657	0.114
2.658	0.083
2.659	0.091
2.660	0.112
2.661	0.111
2.662	0.083
2.663	0.087
2.664	0.095
2.665	0.114
2.666	0.094
2.667	0.082
2.670	0.086
2.670	0.111
2.671	0.100
2.671	0.101
2.672	0.101
2.673	0.112
2.674	0.099
2.675	0.096
2.676	0.097
2.677	0.099
2.678	0.103
2.679	0.091
2.680	0.106
2.681	0.120
2.682	0.109
2.683	0.100
2.684	0.103
2.686	0.097
2.686	0.113
2.687	0.112
2.688	0.110
2.690	0.112
2.691	0.116
2.692	0.113
2.693	0.094
2.694	0.073
2.695	0.081
2.696	0.121
2.697	0.098
2.698	0.094
2.699	0.103
2.700	0.114
2.701	0.101
2.702	0.121
2.703	0.100
2.704	0.102
2.705	0.110
2.706	0.094
2.707	0.117
2.708	0.124
2.709	0.116
2.710	0.088
2.711	0.074
2.712	0.092
2.713	0.092
2.714	0.075
2.715	0.099
2.716	0.097
2.717	0.069
2.718	0.089
2.719	0.089
2.720	0.080
2.721	0.062
2.722	0.097
2.723	0.104
2.724	0.076
2.725	0.112
2.726	0.125
2.727	0.107
2.728	0.096
2.729	0.131
2.730	0.091
2.731	0.097
2.732	0.099
2.733	0.095
2.734	0.075
2.735	0.109
2.736	0.099
2.737	0.102
2.738	0.090
2.739	0.111
2.740	0.104
2.741	0.095
2.742	0.127
2.743	0.104
2.744	0.107
2.745	0.101
2.746	0.105
2.747	0.072
2.748	0.078
2.749	0.110
2.750	0.093
2.751	0.071
2.752	0.070
2.753	0.084
2.755	0.094
2.755	0.091
2.757	0.109
2.757	0.097
2.758	0.105
2.759	0.079
2.760	0.105
2.761	0.105
2.762	0.114
2.763	0.083
2.764	0.079
2.765	0.097
2.766	0.099
2.767	0.066
2.768	0.090
2.769	0.087
2.770	0.073
2.771	0.081
2.772	0.085
2.773	0.088
2.774	0.062
2.775	0.080
2.776	0.063
2.777	0.084
2.778	0.079
2.779	0.080
2.780	0.084
2.781	0.080
2.782	0.071
2.783	0.086
2.784	0.089
2.785	0.077
2.786	0.094
2.787	0.068
2.788	0.059
2.789	0.080
2.790	0.058
2.791	0.067
2.792	0.072
2.793	0.092
2.794	0.070
2.795	0.093
2.796	0.077
2.797	0.067
2.798	0.077
2.799	0.058
2.800	0.077
2.801	0.109
2.802	0.070
2.803	0.074
2.804	0.052
2.805	0.064
2.806	0.052
2.807	0.049
2.808	0.047
2.809	0.035
2.810	0.078
2.811	0.058
2.812	0.032
2.813	0.052
2.814	0.074
2.815	0.040
2.816	0.041
2.817	0.041
2.818	0.028
2.819	0.041
2.820	0.033
2.821	0.069
2.822	0.058
2.823	0.056
2.824	0.056
2.825	0.031
2.826	0.035
2.827	0.054
2.828	0.054
2.829	0.043
2.830	0.034
2.831	0.036
2.832	0.034
2.832	0.044
2.834	0.045
2.835	0.036
2.836	0.027
2.837	0.037
2.838	0.036
2.839	0.016
2.840	0.045
2.841	0.030
2.842	0.036
2.843	0.027
2.844	0.040
2.845	0.057
2.846	0.020
2.847	0.027
2.848	0.032
2.849	0.014
2.850	0.036
2.851	0.030
2.852	0.045
2.853	0.021
2.854	0.029
2.855	0.044
2.856	0.036
2.857	0.011
2.858	0.021
2.859	0.044
2.860	0.053
2.861	0.048
2.862	0.056
2.863	0.057
2.864	0.035
2.865	0.023
2.866	0.021
2.867	0.038
2.868	0.051
2.869	0.030
2.870	0.016
2.871	0.019
2.872	0.025
2.873	0.014
2.874	0.029
2.875	0.023
2.876	0.007
2.877	0.008
2.878	0.004
2.879	0.016
2.880	0.027
2.881	0.046
2.882	0.032
2.883	0.003
2.884	0.029
2.885	0.022
2.886	0.039
2.887	0.023
2.888	0.050
2.889	0.026
2.890	0.004
2.891	0.019
2.892	0.043
2.893	0.035
2.894	-0.008
2.895	-0.010
2.896	-0.004
2.897	-0.009
2.898	0.004
2.899	-0.003
2.900	0.016
2.901	0.021
2.903	0.013
2.903	0.027
2.904	0.022
2.905	0.006
2.906	0.019
2.907	0.015
2.908	0.022
2.909	0.023
2.910	-0.007
2.911	0.007
2.912	0.012
2.912	0.014
2.913	0.020
2.914	0.012
2.916	-0.001
2.916	0.010
2.918	-0.001
2.919	0.004
2.920	0.018
2.921	0.010
2.921	0.022
2.922	0.001
2.923	0.008
2.925	-0.003
2.926	-0.003
2.927	-0.004
2.928	-0.012
2.929	-0.023
2.930	-0.008
2.931	-0.007
2.932	-0.010
2.933	-0.003
2.933	0.016
2.935	0.011
2.936	0.006
2.937	0.015
2.938	0.019
2.939	0.005
2.940	0.021
2.941	-0.000
2.942	0.009
2.943	0.026
2.944	0.019
2.945	0.011
2.946	0.020
2.947	0.004
2.948	-0.017
2.949	0.001
2.950	0.007
2.951	0.014
2.953	0.024
2.953	-0.003
2.954	-0.005
2.955	-0.020
2.956	-0.009
2.957	0.006
2.958	0.014
2.959	0.019
2.960	0.020
2.961	0.011
2.962	0.020
2.963	-0.010
2.964	0.007
2.965	0.007
2.966	0.014
2.967	0.014
2.968	0.019
2.969	0.014
2.971	0.019
2.971	0.002
2.972	-0.002
2.973	-0.002
2.974	-0.004
2.975	0.014
2.976	0.003
2.977	0.005
2.978	0.012
2.979	0.011
2.980	0.027
2.981	0.003
2.982	0.014
2.983	-0.016
2.984	0.008
2.985	-0.008
2.986	0.023
2.987	0.002
2.988	-0.011
2.989	0.018
2.990	0.018
2.991	0.021
2.992	0.033
2.993	0.005
2.994	0.004
2.995	0.007
2.996	0.014
2.997	-0.006
2.998	0.008
2.999	-0.016
3.000	0.001
3.001	0.003
3.002	0.026
3.003	0.010
3.004	-0.009
3.005	0.009
3.006	0.013
3.007	0.000
3.008	-0.013
3.009	-0.023
3.010	-0.012
3.011	0.016
3.012	0.011
3.013	0.007
3.014	0.034
3.015	0.031
3.016	0.003
3.017	-0.005
3.018	-0.011
3.019	-0.017
3.020	0.001
3.021	0.016
3.022	0.043
3.023	0.006
3.024	-0.003
3.025	0.007
3.026	0.010
3.027	0.014
3.028	0.002
3.029	0.020
3.030	0.040
3.031	0.012
3.032	0.007
3.033	-0.002
3.034	-0.001
3.035	0.007
3.036	0.008
3.037	-0.013
3.038	-0.023
3.039	0.001
3.040	0.002
3.041	0.005
3.042	-0.016
3.043	0.001
3.044	-0.000
3.045	-0.005
3.046	0.002
3.047	0.001
3.048	0.006
3.049	-0.001
3.050	-0.009
3.051	-0.005
3.052	0.004
3.053	0.023
3.054	-0.001
3.055	-0.005
3.056	0.010
3.057	0.007
3.058	-0.002
3.059	0.017
3.060	0.014
3.061	0.022
3.062	0.027
3.063	-0.009
3.064	0.009
3.065	0.001
3.066	0.008
3.067	-0.003
3.068	-0.007
3.069	0.011
3.070	0.030
3.071	0.006
3.072	0.012
3.073	-0.003
3.074	-0.009
3.075	-0.008
3.076	0.019
3.077	0.010
3.078	0.029
3.079	0.037
3.080	0.020
3.081	-0.001
3.082	0.003
3.083	-0.013
3.084	0.008
3.085	-0.012
3.086	-0.013
3.087	-0.003
3.088	0.028
3.089	0.014
3.090	0.036
3.091	0.028
3.092	0.017
3.093	0.024
3.094	0.015
3.095	0.022
3.096	0.016
3.097	0.006
3.098	-0.019
3.099	0.004
3.100	0.004
3.101	-0.005
3.102	0.009
3.103	0.005
3.104	-0.006
3.105	-0.013
3.106	0.003
3.107	-0.014
3.108	0.007
3.109	0.020
3.110	0.005
3.111	0.011
3.112	-0.008
3.113	-0.014
3.114	0.009
3.115	0.035
3.116	0.021
3.117	0.015
3.118	0.013
3.119	0.008
3.120	0.025
3.121	0.026
3.122	0.003
3.123	0.030
3.124	0.023
3.125	0.010
3.126	0.006
3.127	0.005
3.128	-0.032
3.129	-0.037
3.130	-0.012
3.131	-0.001
3.132	0.007
3.133	-0.001
3.134	-0.007
3.135	0.003
3.136	0.005
3.137	0.010
3.138	0.034
3.139	0.015
3.140	0.013
3.141	-0.007
3.142	-0.008
3.143	0.015
3.144	0.017
3.145	0.030
3.146	0.011
3.147	0.001
3.148	0.036
3.149	0.005
3.150	0.040
3.151	0.009
3.152	0.017
3.153	-0.001
3.154	0.017
3.155	0.005
3.156	0.012
3.157	-0.015
3.158	0.017
3.159	0.011
3.160	0.016
3.161	-0.016
3.162	0.010
3.163	0.003
3.164	0.019
3.165	0.014
3.166	0.017
3.167	0.022
3.168	-0.005
3.169	0.015
3.170	0.017
3.171	0.015
3.172	0.039
3.173	0.006
3.174	0.003
3.175	0.003
3.176	-0.002
3.177	-0.020
3.178	-0.035
3.179	-0.004
3.180	0.008
3.181	0.011
3.182	0.024
3.183	0.019
3.184	0.002
3.185	0.021
3.186	0.039
3.187	0.004
3.188	0.002
3.189	-0.002
3.190	-0.003
3.191	0.017
3.192	0.007
3.193	0.014
3.194	0.005
3.195	0.022
3.196	-0.003
3.197	-0.001
3.198	-0.022
3.199	-0.009
3.200	-0.004
3.201	0.011
3.203	0.018
3.203	0.016
3.204	0.014
3.205	-0.009
3.206	0.051
3.207	0.052
3.208	0.033
3.209	0.016
3.210	0.017
3.211	0.028
3.212	0.006
3.213	0.003
3.214	0.028
3.215	0.030
3.216	-0.001
3.217	-0.004
3.218	-0.018
3.219	0.001
3.220	0.006
3.221	0.002
3.222	0.006
3.223	0.002
3.224	-0.003
3.225	-0.001
3.226	0.015
3.227	-0.009
3.228	-0.024
3.229	0.011
3.230	-0.000
3.231	0.011
3.232	0.025
3.233	-0.005
3.234	0.013
3.235	0.005
3.236	0.055
3.237	0.033
3.238	0.037
3.239	0.002
3.240	0.015
3.241	0.007
3.242	0.020
3.243	0.040
3.244	0.011
3.245	0.051
3.246	0.019
3.247	0.041
3.248	0.025
3.249	0.005
3.250	-0.008
3.251	0.013
3.252	0.025
3.253	-0.002
3.254	-0.004
3.255	0.010
3.256	0.025
3.257	0.011
3.258	0.002
3.259	-0.004
3.260	-0.010
3.261	0.006
3.262	0.029
3.263	0.012
3.264	-0.017
3.265	0.023
3.266	0.019
3.267	-0.002
3.268	-0.010
3.269	-0.013
3.270	-0.010
3.271	-0.022
3.272	-0.000
3.273	0.003
3.274	0.006
3.275	0.015
3.276	0.011
3.277	0.018
3.278	0.018
3.279	-0.004
3.280	0.023
3.281	0.026
3.282	0.033
3.283	0.029
3.284	0.037
3.285	0.021
3.286	0.020
3.287	0.047
3.288	0.033
3.289	0.041
3.290	0.002
3.291	0.010
3.292	0.013
3.293	-0.003
3.294	0.007
3.295	0.021
3.296	0.017
3.297	-0.012
3.298	-0.024
3.299	0.009
3.300	0.045
3.301	0.020
3.303	0.037
3.303	0.042
3.304	0.003
3.305	0.023
3.306	0.019
3.307	-0.007
3.308	0.016
3.309	0.039
3.310	0.031
3.311	0.014
3.312	-0.004
3.313	0.037
3.314	0.031
3.315	0.035
3.316	0.027
3.317	0.018
3.318	0.009
3.319	-0.003
3.320	0.017
3.321	0.023
3.322	0.012
3.323	0.003
3.324	0.023
3.325	-0.002
